m,n,k,time_directo,time_subrutina
50,250,350,2.60240007E-02,2.61639990E-02
100,250,350,5.57109974E-02,5.56009971E-02
150,250,350,7.52980039E-02,7.49580041E-02
200,250,350,0.118793003,0.118772998
250,250,350,0.126994997,0.127627000
300,250,350,0.165964991,0.165119991
350,250,350,0.165964007,0.165874988
400,250,350,0.226371005,0.224472001
450,250,350,0.214336008,0.215291992
500,250,350,0.281273991,0.281562984
50,300,350,3.53699997E-02,3.55659984E-02
100,300,350,7.40839988E-02,7.36880004E-02
150,300,350,0.101181999,0.101684004
200,300,350,0.159156010,0.161193997
250,300,350,0.171490997,0.171095997
300,300,350,0.222352013,0.221978009
350,300,350,0.226829007,0.227062002
400,300,350,0.300531000,0.301647991
450,300,350,0.302089006,0.295311004
500,300,350,0.381484985,0.377715975
50,350,350,3.46199982E-02,3.47720012E-02
100,350,350,8.61739963E-02,8.63600001E-02
150,350,350,0.116459996,0.114964001
200,350,350,0.181709990,0.181664988
250,350,350,0.195001990,0.195455000
300,350,350,0.258147001,0.259287000
350,350,350,0.264394999,0.259002984
400,350,350,0.349071980,0.350064993
450,350,350,0.312633991,0.336659998
500,350,350,0.437949985,0.433963001
50,400,350,4.07789983E-02,4.05299999E-02
100,400,350,8.62750039E-02,8.67500007E-02
150,400,350,0.111824997,0.112066999
200,400,350,0.182010010,0.180837005
250,400,350,0.191678002,0.193330988
300,400,350,0.260348976,0.260596991
350,400,350,0.254369020,0.194311008
400,400,350,0.346964002,0.353242993
450,400,350,0.323864996,0.328938007
500,400,350,0.439446002,0.417191982
50,450,350,4.32830006E-02,3.63700017E-02
100,450,350,9.25209969E-02,7.06330016E-02
150,450,350,8.75460058E-02,0.118136004
200,450,350,0.192928001,0.195645005
250,450,350,0.199692011,0.144606993
300,450,350,0.277524024,0.201658010
350,450,350,0.261168003,0.273772001
400,450,350,0.378726989,0.375129998
450,450,350,0.342580974,0.347579986
500,450,350,0.469691992,0.334136009
50,500,350,4.59289998E-02,3.89949977E-02
100,500,350,9.96249989E-02,0.100223005
150,500,350,0.128719002,0.132169992
200,500,350,0.212661996,0.207296997
250,500,350,0.155703992,0.213250995
300,500,350,0.299504995,0.300175995
350,500,350,0.295444995,0.292466998
400,500,350,0.408053011,0.411309004
450,500,350,0.378890008,0.380888999
500,500,350,0.501065969,0.474393010
50,50,400,1.25019997E-02,1.25270002E-02
100,50,400,2.52289996E-02,2.51170006E-02
150,50,400,3.61539982E-02,4.18849997E-02
200,50,400,5.20270020E-02,5.20919971E-02
250,50,400,6.18170016E-02,4.93189991E-02
300,50,400,7.47769997E-02,5.88280000E-02
350,50,400,8.85199979E-02,8.69409963E-02
400,50,400,9.20320004E-02,9.17939991E-02
450,50,400,0.112044998,0.113905996
500,50,400,0.126686007,0.125537992
50,100,400,1.63150001E-02,1.63300000E-02
100,100,400,3.31320018E-02,3.31950001E-02
150,100,400,5.57200015E-02,5.46469986E-02
200,100,400,7.38010034E-02,7.34620020E-02
250,100,400,8.31179991E-02,8.23200047E-02
300,100,400,9.76399928E-02,9.83109996E-02
350,100,400,0.116478004,0.117311999
400,100,400,9.94639993E-02,0.131806001
450,100,400,0.153099999,0.153843001
500,100,400,0.168579996,0.168992996
50,150,400,2.12820005E-02,2.13789996E-02
100,150,400,4.35559973E-02,4.44240011E-02
150,150,400,6.11850023E-02,6.22770041E-02
200,150,400,9.58409980E-02,9.70210060E-02
250,150,400,0.111625999,0.110551000
300,150,400,0.131596997,0.130475998
350,150,400,0.155386001,0.114637002
400,150,400,0.175620005,0.175589010
450,150,400,0.206761003,0.201047003
500,150,400,0.221444011,0.221554995
50,200,400,2.48419996E-02,2.49979999E-02
100,200,400,5.12529984E-02,5.14789969E-02
150,200,400,8.37770030E-02,8.35560039E-02
200,200,400,0.111377999,0.111907996
250,200,400,0.131448001,0.129661009
300,200,400,0.154079989,0.153150007
350,200,400,0.180948004,0.181407005
400,200,400,0.209601000,0.209207997
450,200,400,0.235844001,0.238961011
500,200,400,0.264358997,0.220500007
50,250,400,2.47089993E-02,2.46959999E-02
100,250,400,6.15909994E-02,6.18009977E-02
150,250,400,7.46550038E-02,9.80020016E-02
200,250,400,0.132977009,0.132920995
250,250,400,0.113645002,0.154983997
300,250,400,0.184946999,0.185484990
350,250,400,0.219591990,0.216883987
400,250,400,0.178173006,0.250436008
450,250,400,0.283615023,0.283776015
500,250,400,0.222422004,0.309924006
50,300,400,3.96159999E-02,3.98560017E-02
100,300,400,8.38060006E-02,8.35340023E-02
150,300,400,0.130042002,0.130818993
200,300,400,0.177065998,0.128488004
250,300,400,0.208372995,0.211714000
300,300,400,0.249350980,0.251773000
350,300,400,0.295848995,0.295185000
400,300,400,0.335018009,0.337507010
450,300,400,0.380704999,0.379747987
500,300,400,0.424255013,0.420516014
50,350,400,4.60650027E-02,4.63490002E-02
100,350,400,9.64460000E-02,9.78349969E-02
150,350,400,0.151845992,0.151071995
200,350,400,0.204198003,0.205086991
250,350,400,0.244944990,0.247168988
300,350,400,0.289319992,0.290610999
350,350,400,0.330619007,0.345776021
400,350,400,0.392605007,0.391863018
450,350,400,0.443643004,0.442399979
500,350,400,0.487540007,0.491057992
50,400,400,4.73849997E-02,4.72420007E-02
100,400,400,9.81040001E-02,9.71760005E-02
150,400,400,0.151817009,0.153271988
200,400,400,0.202674001,0.146467000
250,400,400,0.244046003,0.243488997
300,400,400,0.288001001,0.292093992
350,400,400,0.341651976,0.340579987
400,400,400,0.392278016,0.390540987
450,400,400,0.313111991,0.445160002
500,400,400,0.454869002,0.343573987
50,450,400,3.97769995E-02,3.98560017E-02
100,450,400,0.103280999,0.103573002
150,450,400,0.165575996,0.161858007
200,450,400,0.219622001,0.223436013
250,450,400,0.263266981,0.263992012
300,450,400,0.314199001,0.312842011
350,450,400,0.369269013,0.372649997
400,450,400,0.423029006,0.417923987
450,450,400,0.438940018,0.370716006
500,450,400,0.522844970,0.521661997
50,500,400,5.38249984E-02,5.44949993E-02
100,500,400,8.21869969E-02,0.111586004
150,500,400,0.173386991,0.174053997
200,500,400,0.235421985,0.230819002
250,500,400,0.280351996,0.278966010
300,500,400,0.329254001,0.340662003
350,500,400,0.280564010,0.397843003
400,500,400,0.407260984,0.445253998
450,500,400,0.468459010,0.506978035
500,500,400,0.395524025,0.522010982
50,50,450,1.31139997E-02,1.36949997E-02
100,50,450,2.86650006E-02,2.46459991E-02
150,50,450,4.71199974E-02,4.68650013E-02
200,50,450,5.54660000E-02,5.58189973E-02
250,50,450,6.30840063E-02,5.13650030E-02
300,50,450,8.32780004E-02,8.11510012E-02
350,50,450,7.69069940E-02,9.93660018E-02
400,50,450,0.110493004,0.110729001
450,50,450,0.116345994,0.117466003
500,50,450,0.142605990,0.137264997
50,100,450,1.88459996E-02,1.87380016E-02
100,100,450,3.69950011E-02,3.23859975E-02
150,100,450,4.80269976E-02,4.82009985E-02
200,100,450,5.09289987E-02,7.31999949E-02
250,100,450,9.24490020E-02,7.05149993E-02
300,100,450,0.108871996,0.108713999
350,100,450,0.116665997,8.57219994E-02
400,100,450,0.108847998,0.112805001
450,100,450,0.109902002,0.144987002
500,100,450,0.184148014,0.186549991
50,150,450,2.11549997E-02,2.06690002E-02
100,150,450,4.04199995E-02,5.05459979E-02
150,150,450,6.09939992E-02,7.88879991E-02
200,150,450,9.74600017E-02,9.74539965E-02
250,150,450,0.102816001,7.98519999E-02
300,150,450,0.145279989,0.145152003
350,150,450,0.146440998,0.145395011
400,150,450,0.144913003,0.196607992
450,150,450,0.189896986,0.189576000
500,150,450,0.251239002,0.244963005
50,200,450,2.79900003E-02,2.81060003E-02
100,200,450,5.68530001E-02,5.66600002E-02
150,200,450,9.06080008E-02,9.14980024E-02
200,200,450,0.115741000,0.116017997
250,200,450,0.123665996,0.120241001
300,200,450,0.170984998,0.173384994
350,200,450,0.173128009,0.169749007
400,200,450,0.165704995,0.231756002
450,200,450,0.224344000,0.222484007
500,200,450,0.293494999,0.291752011
50,250,450,3.34799998E-02,3.34799998E-02
100,250,450,6.88990057E-02,6.91780001E-02
150,250,450,9.44340006E-02,7.15340003E-02
200,250,450,0.138571009,0.138702005
250,250,450,0.146636009,0.143866003
300,250,450,0.205627009,0.206409007
350,250,450,0.206087992,0.202811003
400,250,450,0.278284997,0.279774010
450,250,450,0.268224984,0.188952997
500,250,450,0.349189013,0.347756982
50,300,450,4.56500016E-02,4.56969999E-02
100,300,450,9.26460028E-02,9.29350033E-02
150,300,450,0.126225993,0.128073990
200,300,450,0.196344003,0.194964007
250,300,450,0.203727007,0.204159006
300,300,450,0.285912007,0.282499999
350,300,450,0.286599010,0.283051997
400,300,450,0.378457993,0.374574989
450,300,450,0.367316008,0.367594004
500,300,450,0.469255000,0.469455004
50,350,450,4.53619994E-02,4.51720022E-02
100,350,450,0.107664995,0.107283004
150,350,450,0.143949002,0.144624010
200,350,450,0.219269991,0.217390999
250,350,450,0.233074993,0.229819000
300,350,450,0.321454018,0.323830009
350,350,450,0.320829004,0.325341016
400,350,450,0.392403990,0.417317003
450,350,450,0.377294004,0.413860023
500,350,450,0.545418024,0.544400036
50,400,450,3.94460000E-02,5.32330014E-02
100,400,450,0.108238004,8.13219994E-02
150,400,450,0.103712998,0.139091998
200,400,450,0.217156991,0.218094990
250,400,450,0.225539997,0.227201998
300,400,450,0.320306987,0.327580005
350,400,450,0.316942990,0.321395993
400,400,450,0.437098980,0.394959003
450,400,450,0.404917002,0.287290007
500,400,450,0.492826015,0.381994992
50,450,450,5.53920008E-02,5.52240014E-02
100,450,450,0.114584997,0.115289994
150,450,450,0.146675006,0.150404006
200,450,450,0.239617005,0.235490993
250,450,450,0.170534000,0.230999008
300,450,450,0.351217985,0.247854009
350,450,450,0.329625994,0.334438980
400,450,450,0.467660993,0.431493014
450,450,450,0.419420987,0.422354996
500,450,450,0.552797973,0.409399986
50,500,450,5.95219992E-02,5.97799979E-02
100,500,450,0.124444991,0.124362007
150,500,450,0.157787994,0.156846002
200,500,450,0.247956991,0.249065995
250,500,450,0.264921010,0.186880991
300,500,450,0.261977017,0.370115012
350,500,450,0.358116001,0.361476004
400,500,450,0.352862984,0.510626972
450,500,450,0.452127993,0.445519000
500,500,450,0.535642028,0.624675035
50,50,500,1.63049996E-02,1.62199996E-02
100,50,500,2.84939986E-02,2.83470005E-02
150,50,500,4.74730022E-02,4.60230000E-02
200,50,500,6.14519976E-02,6.09450005E-02
250,50,500,7.72899985E-02,6.04880005E-02
300,50,500,8.31819996E-02,8.37699994E-02
350,50,500,0.107926004,0.108910002
400,50,500,0.124898002,0.123312004
450,50,500,0.141020998,0.140035987
500,50,500,0.141593993,0.140386999
50,100,500,2.07650010E-02,2.08780002E-02
100,100,500,4.03209999E-02,4.04829979E-02
150,100,500,6.09600022E-02,6.08580001E-02
200,100,500,8.10250044E-02,6.23899959E-02
250,100,500,7.65940025E-02,0.101125002
300,100,500,0.119819999,9.14620012E-02
350,100,500,0.141429991,0.105087996
400,100,500,0.162362993,0.166186005
450,100,500,0.184401006,0.185580999
500,100,500,0.147860005,0.148109987
50,150,500,2.69219987E-02,2.68229991E-02
100,150,500,5.35409972E-02,5.32599986E-02
150,150,500,6.74059987E-02,6.75729960E-02
200,150,500,8.10739994E-02,0.107086003
250,150,500,9.95029956E-02,0.134904996
300,150,500,0.116737001,0.159159988
350,150,500,0.188253999,0.190629005
400,150,500,0.217803001,0.218800992
450,150,500,0.245449007,0.246625006
500,150,500,0.271569997,0.272165000
50,200,500,2.72949990E-02,3.14610004E-02
100,200,500,6.28589988E-02,6.26880005E-02
150,200,500,9.52319950E-02,9.49990004E-02
200,200,500,0.126313001,0.126977995
250,200,500,0.160157010,0.156538993
300,200,500,0.187068000,0.186241001
350,200,500,0.221718997,0.221184000
400,200,500,0.253602982,0.252662003
450,200,500,0.286554009,0.290121973
500,200,500,0.321719021,0.321013004
50,250,500,3.13859992E-02,3.12430002E-02
100,250,500,7.52729997E-02,7.48130009E-02
150,250,500,0.114916995,0.114234999
200,250,500,0.152966991,0.152516991
250,250,500,0.192185998,0.190058008
300,250,500,0.230544999,0.226420000
350,250,500,0.271252990,0.268878013
400,250,500,0.306983024,0.305734009
450,250,500,0.345243990,0.350587994
500,250,500,0.383507997,0.381840020
50,300,500,5.08989990E-02,5.04040010E-02
100,300,500,0.101516001,0.101696000
150,300,500,0.152991995,0.153561994
200,300,500,0.207138002,0.205795005
250,300,500,0.259042978,0.259166002
300,300,500,0.306456983,0.309489995
350,300,500,0.364542991,0.362933010
400,300,500,0.416170001,0.417519003
450,300,500,0.467855990,0.465137988
500,300,500,0.450972021,0.502442002
50,350,500,5.76619990E-02,5.75769991E-02
100,350,500,0.116906993,9.01400000E-02
150,350,500,0.176157996,0.176982000
200,350,500,0.234740987,0.239720002
250,350,500,0.298720002,0.297764003
300,350,500,0.354907006,0.354539007
350,350,500,0.418884009,0.416997999
400,350,500,0.452740014,0.478074998
450,350,500,0.393175006,0.536660016
500,350,500,0.597081006,0.528712034
50,400,500,5.75020015E-02,5.75120002E-02
100,400,500,0.117053002,0.118897997
150,400,500,0.130347997,0.176884994
200,400,500,0.173223004,0.237433001
250,400,500,0.206799001,0.295334995
300,400,500,0.353179991,0.347699016
350,400,500,0.418155015,0.418675005
400,400,500,0.444040000,0.334524989
450,400,500,0.537331998,0.517158985
500,400,500,0.412074983,0.411271006
50,450,500,4.12130021E-02,4.96619977E-02
100,450,500,9.40570012E-02,0.125534996
150,450,500,0.191413999,0.191291004
200,450,500,0.255554974,0.185302004
250,450,500,0.315171003,0.227765009
300,450,500,0.375051022,0.372752011
350,450,500,0.434964985,0.449916005
400,450,500,0.513549984,0.520105004
450,450,500,0.587040007,0.591329992
500,450,500,0.574563980,0.622313976
50,500,500,6.61379993E-02,6.68600053E-02
100,500,500,0.101558000,0.135132000
150,500,500,0.202987999,0.148194000
200,500,500,0.271782994,0.272132009
250,500,500,0.341223001,0.338449001
300,500,500,0.288307995,0.405841976
350,500,500,0.465611994,0.338791996
400,500,500,0.543137968,0.542099953
450,500,500,0.433490992,0.468280017
500,500,500,0.654837012,0.675822973
