m,n,k,time_directo,time_subrutina
450,100,100,5.46579994E-02,5.47339991E-02
500,100,100,6.13740012E-02,6.01419993E-02
50,150,100,6.35300018E-03,6.32299995E-03
100,150,100,1.37499999E-02,1.37769999E-02
150,150,100,2.43400000E-02,2.37309989E-02
200,150,100,2.95669995E-02,2.94900015E-02
250,150,100,3.68570015E-02,3.67490016E-02
300,150,100,4.27919999E-02,4.26599979E-02
350,150,100,5.63089997E-02,5.64079992E-02
400,150,100,6.45420030E-02,6.41679987E-02
450,150,100,7.55919963E-02,7.37439990E-02
500,150,100,8.04600045E-02,8.06460008E-02
50,200,100,6.49099983E-03,6.17400045E-03
100,200,100,1.64850000E-02,1.60330012E-02
150,200,100,2.52709985E-02,2.45119985E-02
200,200,100,3.81629989E-02,3.87459993E-02
250,200,100,4.38989997E-02,4.45670001E-02
300,200,100,5.08400016E-02,5.17789982E-02
350,200,100,6.62259981E-02,6.76890016E-02
400,200,100,7.65129998E-02,7.71600008E-02
450,200,100,8.57149959E-02,8.75840038E-02
500,200,100,9.46250036E-02,9.62479934E-02
50,250,100,8.98300018E-03,9.03899968E-03
100,250,100,1.97720006E-02,1.99280009E-02
150,250,100,3.40780020E-02,3.39999981E-02
200,250,100,4.66639996E-02,4.66939993E-02
250,250,100,5.39170019E-02,5.41279987E-02
300,250,100,6.31029978E-02,6.31079972E-02
350,250,100,8.10860023E-02,8.13729987E-02
400,250,100,9.27689970E-02,9.26520005E-02
450,250,100,0.105533004,0.106973000
500,250,100,0.115938999,0.116029002
50,300,100,1.19050005E-02,1.24490010E-02
100,300,100,2.59990003E-02,2.59959996E-02
150,300,100,4.38119993E-02,4.39609997E-02
200,300,100,6.00499995E-02,6.03169985E-02
250,300,100,7.01529980E-02,7.04139993E-02
300,300,100,8.26560035E-02,8.24620053E-02
350,300,100,0.105847001,0.105876006
400,300,100,0.119522005,0.119680002
450,300,100,0.136796013,0.136197999
500,300,100,0.149830997,0.149549007
50,350,100,1.37080001E-02,1.37090003E-02
100,350,100,3.34829986E-02,3.34219970E-02
150,350,100,5.03599979E-02,5.05570024E-02
200,350,100,6.92640021E-02,6.92640021E-02
250,350,100,8.26570019E-02,8.18829983E-02
300,350,100,9.54300016E-02,9.57470015E-02
350,350,100,0.120940998,0.120999001
400,350,100,0.137615994,0.137632996
450,350,100,0.157268003,0.156738997
500,350,100,0.172921002,0.173380002
50,400,100,1.40000004E-02,1.39580006E-02
100,400,100,3.46920006E-02,3.48830000E-02
150,400,100,5.28919995E-02,5.24110012E-02
200,400,100,7.15639964E-02,7.17179999E-02
250,400,100,8.56140032E-02,8.53179991E-02
300,400,100,9.93390009E-02,9.95720029E-02
350,400,100,0.124727994,0.124822006
400,400,100,0.143095002,0.142833993
450,400,100,0.164348006,0.163158998
500,400,100,0.180982992,0.179530993
50,450,100,1.27739999E-02,1.28069995E-02
100,450,100,3.78880017E-02,3.78279984E-02
150,450,100,5.68140000E-02,5.68169989E-02
200,450,100,7.74679929E-02,7.84839988E-02
250,450,100,9.30690020E-02,9.29450020E-02
300,450,100,0.108462997,0.108686998
350,450,100,0.135858998,0.135716006
400,450,100,0.157535002,0.155232996
450,450,100,0.177656993,0.178135991
500,450,100,0.195818990,0.195871994
50,500,100,1.61630008E-02,1.65899992E-02
100,500,100,4.08740006E-02,4.08429988E-02
150,500,100,6.12630025E-02,6.13230020E-02
200,500,100,8.37929994E-02,8.49689990E-02
250,500,100,0.100751996,0.100556999
300,500,100,0.117148995,0.117142998
350,500,100,0.147332996,0.146825999
400,500,100,0.168623999,0.168089002
450,500,100,0.192358002,0.191850007
500,500,100,0.210232005,0.211078003
50,50,150,4.99100005E-03,4.92400024E-03
100,50,150,1.15290005E-02,1.13010006E-02
150,50,150,1.73990000E-02,1.67629998E-02
200,50,150,2.45889984E-02,2.42839996E-02
250,50,150,3.08089983E-02,3.21679972E-02
300,50,150,3.65270004E-02,3.65270004E-02
350,50,150,4.02659997E-02,3.96450013E-02
400,50,150,4.82559986E-02,4.88910004E-02
450,50,150,5.45330010E-02,5.62749989E-02
500,50,150,5.97640015E-02,5.98710030E-02
50,100,150,6.78200042E-03,6.79399958E-03
100,100,150,1.57440007E-02,1.56739987E-02
150,100,150,2.42229998E-02,2.41209995E-02
200,100,150,3.28299999E-02,3.27900015E-02
250,100,150,4.13900018E-02,4.12419997E-02
300,100,150,4.87870015E-02,4.87610027E-02
350,100,150,6.02120049E-02,5.76819964E-02
400,100,150,6.54579997E-02,6.54830039E-02
450,100,150,7.41060004E-02,7.40099996E-02
500,100,150,8.12459961E-02,8.12899992E-02
50,150,150,9.11400001E-03,8.89099948E-03
100,150,150,2.07659993E-02,2.07230002E-02
150,150,150,2.79810000E-02,2.79639997E-02
200,150,150,4.32499982E-02,4.33509983E-02
250,150,150,5.43849990E-02,5.44969998E-02
300,150,150,5.56420013E-02,5.56810014E-02
350,150,150,7.52069950E-02,7.56319985E-02
400,150,150,7.61059970E-02,7.61619955E-02
450,150,150,9.78429988E-02,9.77169946E-02
500,150,150,9.45660025E-02,9.52280015E-02
50,200,150,1.04120001E-02,9.93700046E-03
100,200,150,2.13769991E-02,2.06440017E-02
150,200,150,3.80690023E-02,3.67249995E-02
200,200,150,5.02349995E-02,5.09539992E-02
250,200,150,6.30749986E-02,6.46659955E-02
300,200,150,7.32219964E-02,7.49450028E-02
350,200,150,8.77869949E-02,8.98389965E-02
400,200,150,0.100446999,0.102880999
450,200,150,0.113492005,0.115538001
500,200,150,0.125396997,0.128949001
50,250,150,1.23670008E-02,1.25099998E-02
100,250,150,2.96440013E-02,2.97910012E-02
150,250,150,3.92549969E-02,3.91580015E-02
200,250,150,6.10210001E-02,6.11409992E-02
250,250,150,6.71920031E-02,6.71639964E-02
300,250,150,8.99399966E-02,9.05990005E-02
350,250,150,9.44120064E-02,9.34549943E-02
400,250,150,0.122184001,0.122645997
450,250,150,0.121652998,0.122105002
500,250,150,0.153587997,0.154735997
50,300,150,1.66170001E-02,1.67239998E-02
100,300,150,3.88620012E-02,3.93310003E-02
150,300,150,5.18179983E-02,5.18010035E-02
200,300,150,7.95530006E-02,7.89110065E-02
250,300,150,8.90239999E-02,8.75740051E-02
300,300,150,0.117744997,0.117009997
350,300,150,0.123850994,0.123450004
400,300,150,0.158616006,0.160275996
450,300,150,0.162888989,0.162787005
500,300,150,0.198814005,0.198552996
50,350,150,1.66359991E-02,1.67169999E-02
100,350,150,4.48109992E-02,4.46530022E-02
150,350,150,5.96789978E-02,5.87269999E-02
200,350,150,9.11339968E-02,9.15060043E-02
250,350,150,0.100612000,0.100408994
300,350,150,0.134787992,0.134520009
350,350,150,0.140553996,0.142210990
400,350,150,0.184173986,0.183867007
450,350,150,0.182920009,0.182661012
500,350,150,0.229933992,0.229444996
50,400,150,1.94370002E-02,1.93559993E-02
100,400,150,4.58960012E-02,4.62490022E-02
150,400,150,5.94909973E-02,5.95050007E-02
200,400,150,9.39720050E-02,9.48000029E-02
250,400,150,0.101834998,0.101301000
300,400,150,0.138350010,0.138544992
350,400,150,0.143142998,0.142383993
400,400,150,0.188749000,0.188708991
450,400,150,0.185542002,0.185821995
500,400,150,0.236421004,0.235960990
50,450,150,2.07470004E-02,2.08310001E-02
100,450,150,4.95209992E-02,4.97260019E-02
150,450,150,6.30370006E-02,6.29510060E-02
200,450,150,0.102772996,0.102381997
250,450,150,0.107979000,0.109226003
300,450,150,0.150147989,0.149221003
350,450,150,0.151099995,0.152301997
400,450,150,0.204457998,0.203614995
450,450,150,0.196967006,0.195887998
500,450,150,0.256933004,0.257799983
50,500,150,2.24019997E-02,2.24430002E-02
100,500,150,5.41730002E-02,5.39439991E-02
150,500,150,6.89559951E-02,6.90239966E-02
200,500,150,0.109566003,0.109420002
250,500,150,0.117604002,0.119035996
300,500,150,0.161884993,0.161374003
350,500,150,0.165930003,0.167874008
400,500,150,0.219972000,0.220959991
450,500,150,0.214718997,0.215686992
500,500,150,0.277146012,0.275364012
50,50,200,6.59700017E-03,6.54800003E-03
100,50,200,1.47470003E-02,1.47259999E-02
150,50,200,2.29049996E-02,2.28089988E-02
200,50,200,2.87779998E-02,2.90029999E-02
250,50,200,3.88780013E-02,3.94309983E-02
300,50,200,4.64980006E-02,4.62069996E-02
350,50,200,5.40020019E-02,5.31850010E-02
400,50,200,5.69470003E-02,5.72979972E-02
450,50,200,6.95480034E-02,6.95479959E-02
500,50,200,6.53170049E-02,6.62700012E-02
50,100,200,8.57099984E-03,8.50700028E-03
100,100,200,1.76999997E-02,1.75199993E-02
150,100,200,3.00239995E-02,2.98639983E-02
200,100,200,3.68150026E-02,3.69709991E-02
250,100,200,5.16170003E-02,5.21699972E-02
300,100,200,5.54909967E-02,5.48390001E-02
350,100,200,7.22000003E-02,7.15829954E-02
400,100,200,8.13880041E-02,8.14479962E-02
450,100,200,9.24640000E-02,9.19089988E-02
500,100,200,9.12550017E-02,9.15480033E-02
50,150,200,1.13390004E-02,1.14929993E-02
100,150,200,2.57559996E-02,2.58629993E-02
150,150,200,3.95210013E-02,3.94489989E-02
200,150,200,4.67300005E-02,4.65530008E-02
250,150,200,6.70910031E-02,6.69679940E-02
300,150,200,7.94840008E-02,7.88120031E-02
350,150,200,9.36409980E-02,9.36219990E-02
400,150,200,0.107567996,0.108038001
450,150,200,0.121399999,0.121086001
500,150,200,0.122861005,0.123993002
50,200,200,1.32319992E-02,1.33100003E-02
100,200,200,3.05319987E-02,3.05659994E-02
150,200,200,4.66109999E-02,4.61359993E-02
200,200,200,6.21009953E-02,6.21029958E-02
250,200,200,7.88759962E-02,7.85759985E-02
300,200,200,9.25730020E-02,9.22069997E-02
350,200,200,0.109579995,0.110218003
400,200,200,0.126556009,0.125936985
450,200,200,0.142741993,0.144290000
500,200,200,0.147248000,0.146810994
50,250,200,1.34160006E-02,1.33459996E-02
100,250,200,3.66060026E-02,3.65770012E-02
150,250,200,5.50480001E-02,5.51589988E-02
200,250,200,7.45669976E-02,7.45470002E-02
250,250,200,9.39980000E-02,9.42329988E-02
300,250,200,0.110037997,0.110706002
350,250,200,0.131614000,0.131006002
400,250,200,0.151256010,0.150743008
450,250,200,0.170043990,0.171656996
500,250,200,0.177703992,0.179286003
50,300,200,2.11599991E-02,2.11670008E-02
100,300,200,4.81089987E-02,4.82629985E-02
150,300,200,7.23740011E-02,8.93239975E-02
