m,n,k,time_int,time_ext,max_error
750,1500,250,0.1306738853454590,5.6400299072265625E-003,0.000000000000000
1000,1500,250,0.1378529071807861,7.1229934692382813E-003,0.000000000000000
1500,1500,250,0.1394779682159424,1.0392189025878906E-002,0.000000000000000
2000,1500,250,0.1445980072021484,1.3524055480957031E-002,0.000000000000000
3000,1500,250,0.1481721401214600,1.9798040390014648E-002,0.000000000000000
5000,1500,250,0.1657898426055908,3.3504009246826172E-002,0.000000000000000
100,2000,250,0.1359250545501709,2.0999908447265625E-003,0.000000000000000
250,2000,250,0.1319661140441895,3.5889148712158203E-003,0.000000000000000
500,2000,250,0.1335558891296387,6.0648918151855469E-003,0.000000000000000
750,2000,250,0.1353631019592285,8.3429813385009766E-003,0.000000000000000
1000,2000,250,0.1407980918884277,1.1236906051635742E-002,0.000000000000000
1500,2000,250,0.1467950344085693,1.6358137130737305E-002,0.000000000000000
2000,2000,250,0.1504268646240234,2.0452976226806641E-002,0.000000000000000
3000,2000,250,0.1628091335296631,3.0241012573242188E-002,0.000000000000000
5000,2000,250,0.1843371391296387,5.2131891250610352E-002,0.000000000000000
100,3000,250,0.1343581676483154,2.4530887603759766E-003,0.000000000000000
250,3000,250,0.1340470314025879,4.0950775146484375E-003,0.000000000000000
500,3000,250,0.1379520893096924,7.0660114288330078E-003,0.000000000000000
750,3000,250,0.1395790576934814,9.5961093902587891E-003,0.000000000000000
1000,3000,250,0.1435708999633789,1.2544155120849609E-002,0.000000000000000
1500,3000,250,0.1470279693603516,1.8105983734130859E-002,0.000000000000000
2000,3000,250,0.1574468612670898,2.4434089660644531E-002,0.000000000000000
3000,3000,250,0.1656081676483154,3.4708976745605469E-002,0.000000000000000
5000,3000,250,0.1889259815216064,5.6734085083007813E-002,0.000000000000000
100,5000,250,0.1354391574859619,3.9961338043212891E-003,0.000000000000000
250,5000,250,0.1383788585662842,6.6001415252685547E-003,0.000000000000000
500,5000,250,0.1442410945892334,1.1503934860229492E-002,0.000000000000000
750,5000,250,0.1445739269256592,1.5841007232666016E-002,0.000000000000000
1000,5000,250,0.1534440517425537,2.0549058914184570E-002,0.000000000000000
1500,5000,250,0.1598320007324219,2.8168916702270508E-002,0.000000000000000
2000,5000,250,0.1696128845214844,3.8427114486694336E-002,0.000000000000000
3000,5000,250,0.1863441467285156,5.3480148315429688E-002,0.000000000000000
5000,5000,250,0.2242319583892822,9.3523025512695313E-002,0.000000000000000
100,100,500,0.1204760074615479,6.9618225097656250E-004,0.000000000000000
250,100,500,0.1314818859100342,1.6160011291503906E-003,0.000000000000000
500,100,500,0.1271889209747314,2.9778480529785156E-003,0.000000000000000
750,100,500,0.1263599395751953,3.6828517913818359E-003,0.000000000000000
1000,100,500,0.1265151500701904,4.6360492706298828E-003,0.000000000000000
1500,100,500,0.1267549991607666,6.7260265350341797E-003,0.000000000000000
2000,100,500,0.1371619701385498,8.8789463043212891E-003,0.000000000000000
3000,100,500,0.1412818431854248,1.2658119201660156E-002,0.000000000000000
5000,100,500,0.1534800529479980,2.1188974380493164E-002,0.000000000000000
100,250,500,0.1268560886383057,9.7203254699707031E-004,0.000000000000000
250,250,500,0.1320450305938721,1.7647743225097656E-003,0.000000000000000
500,250,500,0.1356101036071777,3.0238628387451172E-003,0.000000000000000
750,250,500,0.1321759223937988,4.3759346008300781E-003,0.000000000000000
1000,250,500,0.1357619762420654,5.7349205017089844E-003,0.000000000000000
1500,250,500,0.1363451480865479,8.3680152893066406E-003,0.000000000000000
2000,250,500,0.1388020515441895,1.0782957077026367E-002,0.000000000000000
3000,250,500,0.1433880329132080,1.5799999237060547E-002,0.000000000000000
5000,250,500,0.1518537998199463,2.5720834732055664E-002,0.000000000000000
100,500,500,0.1317780017852783,1.1889934539794922E-003,0.000000000000000
