m,n,k,tiempo_s
256,3653632,256,12.26239705085754
256,3661824,256,8.668570041656494
256,3670016,256,8.504420042037964
256,3678208,256,8.660593986511230
256,3686400,256,8.715144872665405
256,3694592,256,8.658504962921143
256,3702784,256,8.737516164779663
256,3710976,256,8.509190082550049
256,3719168,256,8.950685024261475
256,3727360,256,8.915364027023315
256,3735552,256,8.622251033782959
256,3743744,256,8.791670083999634
256,3751936,256,8.856806993484497
256,3760128,256,8.956053972244263
256,3768320,256,8.927513122558594
256,3776512,256,9.005459070205688
256,3784704,256,8.899332046508789
256,3792896,256,8.934950113296509
256,3801088,256,8.555052042007446
256,3809280,256,8.994041919708252
256,3817472,256,9.910068035125732
256,3825664,256,9.133322000503540
256,3833856,256,10.24863815307617
256,3842048,256,8.780020952224731
256,3850240,256,9.053767919540405
256,3858432,256,9.059210062026978
256,3866624,256,9.282567977905273
256,3874816,256,8.680938005447388
256,3883008,256,9.157278060913086
256,3891200,256,8.767894983291626
256,3899392,256,8.798207044601440
256,3907584,256,9.213502168655396
256,3915776,256,10.66724705696106
256,3923968,256,8.917055130004883
256,3932160,256,9.338594198226929
256,3940352,256,9.219104051589966
256,3948544,256,9.316725015640259
256,3956736,256,9.418077945709229
256,3964928,256,9.333515167236328
256,3973120,256,9.300833940505981
256,3981312,256,9.532914161682129
256,3989504,256,9.188003063201904
256,3997696,256,9.444380998611450
256,4005888,256,9.292272806167603
256,4014080,256,9.489771127700806
256,4022272,256,9.222429037094116
256,4030464,256,9.638525009155273
256,4038656,256,9.334157228469849
256,4046848,256,9.641045093536377
256,4055040,256,13.27747106552124
256,4063232,256,9.661288022994995
256,4071424,256,9.697289943695068
256,4079616,256,9.646905183792114
256,4087808,256,9.538173913955688
256,4096000,256,9.650528192520142
256,4104192,256,9.854723930358887
256,4112384,256,9.604130983352661
256,4120576,256,9.182568073272705
256,4128768,256,10.48915314674377
256,4136960,256,9.758204936981201
256,4145152,256,10.25743198394775
256,4153344,256,10.35459995269775
256,4161536,256,9.838829994201660
256,4169728,256,9.559096097946167
256,4177920,256,10.20219492912292
256,4186112,256,9.927638053894043
256,4194304,256,9.304790019989014
256,4202496,256,10.05071711540222
256,4210688,256,9.946567058563232
256,4218880,256,9.527220964431763
256,4227072,256,9.978586196899414
256,4235264,256,9.894921064376831
256,4243456,256,9.684337854385376
256,4251648,256,10.01046490669250
256,4259840,256,10.64202189445496
256,4268032,256,9.620326042175293
256,4276224,256,10.17972493171692
256,4284416,256,9.965387105941772
256,4292608,256,9.540430068969727
256,4300800,256,10.26572179794312
256,4308992,256,10.24418282508850
256,4317184,256,9.756636142730713
256,4325376,256,10.16377592086792
256,4333568,256,10.17453384399414
256,4341760,256,10.17349696159363
256,4349952,256,10.28275394439697
256,4358144,256,10.25736188888550
256,4366336,256,10.31402492523193
256,4374528,256,9.934354066848755
256,4382720,256,10.38119912147522
256,4390912,256,10.48432111740112
256,4399104,256,10.03409409523010
256,4407296,256,10.09293389320374
256,4415488,256,10.33755087852478
256,4423680,256,10.51765203475952
256,4431872,256,10.48920798301697
256,4440064,256,10.31004500389099
256,4448256,256,10.46899795532227
256,4456448,256,10.56350517272949
256,4464640,256,10.43592309951782
256,4472832,256,10.34355998039246
256,4481024,256,10.40563702583313
256,4489216,256,10.50409793853760
256,4497408,256,14.48088598251343
256,4505600,256,10.30714201927185
256,4513792,256,10.63233804702759
256,4521984,256,10.88631796836853
256,4530176,256,12.24024915695190
256,4538368,256,13.89319777488708
256,4546560,256,10.70043802261353
256,4554752,256,10.36037302017212
