m,n,k,time_collapse,time_nocollapse,error_max
3000,500,250,0.1505479812622070,2.3360967636108398E-002,0.000000000000000
5000,500,250,0.1513471603393555,3.1009197235107422E-002,0.000000000000000
100,750,250,0.1404540538787842,1.3630867004394531E-002,0.000000000000000
250,750,250,0.1323778629302979,1.4730930328369141E-002,0.000000000000000
500,750,250,0.1359920501708984,1.9249916076660156E-002,0.000000000000000
750,750,250,0.1365590095520020,2.0041942596435547E-002,0.000000000000000
1000,750,250,0.1351730823516846,2.2078990936279297E-002,0.000000000000000
1500,750,250,0.1370010375976563,2.7173995971679688E-002,0.000000000000000
2000,750,250,0.1442668437957764,2.9458045959472656E-002,0.000000000000000
3000,750,250,0.1396350860595703,3.1491994857788086E-002,0.000000000000000
5000,750,250,0.1490240097045898,3.8232088088989258E-002,0.000000000000000
100,1000,250,0.1297841072082520,1.8038988113403320E-002,0.000000000000000
250,1000,250,0.1322891712188721,2.0889997482299805E-002,0.000000000000000
500,1000,250,0.1461839675903320,2.7125835418701172E-002,0.000000000000000
750,1000,250,0.1302158832550049,3.0077934265136719E-002,0.000000000000000
1000,1000,250,0.1415660381317139,3.3116102218627930E-002,0.000000000000000
1500,1000,250,0.1363019943237305,3.5329818725585938E-002,0.000000000000000
2000,1000,250,0.1545269489288330,3.7052869796752930E-002,0.000000000000000
3000,1000,250,0.1447248458862305,4.0803909301757813E-002,0.000000000000000
5000,1000,250,0.1650788784027100,4.8030138015747070E-002,0.000000000000000
100,1500,250,0.1274769306182861,3.0019044876098633E-002,0.000000000000000
250,1500,250,0.1416599750518799,3.7487030029296875E-002,0.000000000000000
500,1500,250,0.1324939727783203,4.3942928314208984E-002,0.000000000000000
750,1500,250,0.1429450511932373,4.7188997268676758E-002,0.000000000000000
1000,1500,250,0.1383049488067627,4.7975063323974609E-002,0.000000000000000
1500,1500,250,0.1470019817352295,5.0849914550781250E-002,0.000000000000000
2000,1500,250,0.1437389850616455,5.2062988281250000E-002,0.000000000000000
3000,1500,250,0.1490230560302734,5.7366847991943359E-002,0.000000000000000
5000,1500,250,0.1666071414947510,6.7111968994140625E-002,0.000000000000000
100,2000,250,0.1308588981628418,4.2772054672241211E-002,0.000000000000000
250,2000,250,0.1362309455871582,5.6800842285156250E-002,0.000000000000000
500,2000,250,0.1376969814300537,6.0874938964843750E-002,0.000000000000000
750,2000,250,0.1527190208435059,6.2899827957153320E-002,0.000000000000000
1000,2000,250,0.1396479606628418,6.3419103622436523E-002,0.000000000000000
1500,2000,250,0.1475160121917725,6.7372083663940430E-002,0.000000000000000
2000,2000,250,0.1501748561859131,6.8473100662231445E-002,0.000000000000000
3000,2000,250,0.1645450592041016,7.5299024581909180E-002,0.000000000000000
5000,2000,250,0.1760778427124023,8.5144996643066406E-002,0.000000000000000
100,3000,250,0.1325888633728027,8.3386898040771484E-002,0.000000000000000
250,3000,250,0.1322138309478760,8.0443143844604492E-002,0.000000000000000
500,3000,250,0.1464841365814209,8.4563970565795898E-002,0.000000000000000
750,3000,250,0.1366829872131348,8.7430000305175781E-002,0.000000000000000
1000,3000,250,0.1384899616241455,8.8785886764526367E-002,0.000000000000000
1500,3000,250,0.1402640342712402,9.2392921447753906E-002,0.000000000000000
2000,3000,250,0.1449711322784424,9.4396114349365234E-002,0.000000000000000
3000,3000,250,0.1568830013275146,0.1030349731445313,0.000000000000000
5000,3000,250,0.1891169548034668,0.1175270080566406,0.000000000000000
100,5000,250,0.1258010864257813,0.1286668777465820,0.000000000000000
